OCC_source,OCC_target,out_degree,trans_prob_cc,trans_prob_cc_in
11-9130,43-5030,18,0.0035638888888888886,0.004080528838356011
11-9130,11-1020,18,0.0035638888888888886,0.003901763100603517
11-9130,41-1010,18,0.0035638888888888886,0.004139690789819865
11-9130,51-1010,18,0.0035638888888888886,0.0042510493862003155
11-9130,43-4150,18,0.0035638888888888886,0.0038571245012849944
11-9130,43-5070,18,0.0035638888888888886,0.0038218004571374206
11-9130,43-5060,18,0.0035638888888888886,0.0037879721656482487
11-9130,43-5053,18,0.0035638888888888886,0.0037761322360703163
11-9130,13-1080,18,0.0035638888888888886,0.00423387753053846
11-9130,43-9050,18,0.0035638888888888886,0.003829063584532743
11-9130,11-9190,18,0.0035638888888888886,0.004158834734174855
11-9130,13-1190,18,0.0035638888888888886,0.004254854649736996
11-9130,43-9060,18,0.0035638888888888886,0.003822998145567644
11-9130,43-5052,18,0.0035638888888888886,0.0037876482516833393
11-9130,11-3050,18,0.0035638888888888886,0.004082250208263475
11-9140,41-9020,15,0.0042766666666666665,0.003806216782765737
11-9140,11-1020,15,0.0042766666666666665,0.003901763100603517
11-9140,13-1020,15,0.0042766666666666665,0.003955151587725325
11-9140,11-2020,15,0.0042766666666666665,0.0039163433607175184
11-9140,13-1040,15,0.0042766666666666665,0.003816126059653174
11-9140,11-9080,15,0.0042766666666666665,0.003821299472639933
11-9140,11-1010,15,0.0042766666666666665,0.003999322592347167
11-9140,11-3030,15,0.0042766666666666665,0.003625031168031906
11-9140,11-9020,15,0.0042766666666666665,0.0036702520512253483
11-9140,41-2021,15,0.0042766666666666665,0.0038525393425851377
11-9140,13-2070,15,0.0042766666666666665,0.0036465842596175896
11-9140,11-3060,15,0.0042766666666666665,0.0038717496544276725
11-9140,43-4010,15,0.0042766666666666665,0.003628422556659725
11-9140,41-3030,15,0.0042766666666666665,0.0035969726853899452
11-9140,43-1010,15,0.0042766666666666665,0.004079653803568041
11-9150,21-1090,11,0.005831818181818182,0.004647638128010092
11-9150,21-1020,11,0.005831818181818182,0.004545656890347845
11-9150,11-3120,11,0.005831818181818182,0.003829912670748584
11-9150,21-1010,11,0.005831818181818182,0.005039422789119903
11-9150,21-2020,11,0.005831818181818182,0.004402115865593736
11-9150,11-9110,11,0.005831818181818182,0.0039479105385641765
11-9150,11-3130,11,0.005831818181818182,0.0050817240790912484
11-9150,13-1110,11,0.005831818181818182,0.004271442187628334
11-9150,11-1010,11,0.005831818181818182,0.003999322592347167
11-9150,11-9030,11,0.005831818181818182,0.0049424188973221485
11-9150,43-4060,11,0.005831818181818182,0.0038979292374733874
11-9160,13-1190,11,0.005831818181818182,0.004254854649736996
11-9160,17-2110,11,0.005831818181818182,0.004419238682021347
11-9160,11-9190,11,0.005831818181818182,0.004158834734174855
11-9160,13-1110,11,0.005831818181818182,0.004271442187628334
11-9160,43-5030,11,0.005831818181818182,0.004080528838356011
11-9160,33-1020,11,0.005831818181818182,0.004394291177633283
11-9160,33-2020,11,0.005831818181818182,0.004227871426818796
